Country Code,First Byte,Second Byte,Manufacturer
0xB5,0x00,0x00,Compression Labs
0xB5,0x00,0x01,PictureTel (Polycom)
0xB5,0x00,0x02,Compression Labs (possibly not used)
0xB5,0x00,0x03,VTEL
0xB5,0x00,0x05,ERIS
0xB5,0x00,0x07,AT&T Worldworx
0xB5,0x00,0x09,VideoServer
0xB5,0x00,0x0B,3Com Corporation
0xB5,0x00,0x0C,Clarent Corporation
0xB5,0x00,0x0D,Genesys Telecommunications
0xB5,0x00,0x0E,C-Phone Corporation
0xB5,0x00,0x0F,Science Dynamics Corporation
0xB5,0x00,0x10,AT&T Starpoint
0xB5,0x00,0x11,Netscape Conference
0xB5,0x00,0x12,Cisco Systems
0xB5,0x00,0x13,Cirilium Inc.
0xB5,0x00,0x14,Ascend Communications Inc.
0xB5,0x00,0x15,RADVision Inc.
0xB5,0x00,0x16,Objective Communications
0xB5,0x00,0x17,VocalTec Communications Inc.
0xB5,0x00,0x18,Serome Technology Inc.
0xB5,0x00,0x19,Aspect Communications (formerly PacNetX)
0xB5,0x00,0x1A,Cintech Tele-Management Systems Inc.
0xB5,0x00,0x1B,Philips Video Conferencing Systems
0xB5,0x00,0x1C,Vertical Networks Inc.
0xB5,0x00,0x1D,Syndeo Corp.
0xB5,0x00,0x1E,Telxon Corporation
0xB5,0x00,0x1F,Network Equipment Technologies (net.com)
0xB5,0x00,0x20,Pagoo Inc.
0xB5,0x00,0x21,General Dynamics
0xB5,0x00,0x22,Vanguard Managed Solutions
0xB5,0x00,0x23,TeleStream Technologies Inc.
0xB5,0x00,0x24,Spirent Communications
0xB5,0x00,0x25,CrystalVoice Communications Inc.
0xB5,0x00,0x26,Xiph.org
0xB5,0x00,0x27,NACT Telecommunications
0xB5,0x00,0x28,AudioCodes Inc.
0xB5,0x00,0x29,Net2phone Inc
0xB5,0x00,0x2A,Centrality Communications Inc.
0xB5,0x00,0x2B,Harmonic Inc.
0xB5,0x00,0x2C,Epygi Technologies Ltd.
0xB5,0x00,0x2D,Scientific Atlanta Inc.
0xB5,0x00,0x2E,Qualcomm Inc.
0xB5,0x00,0x2F,DIRECTV
0xB5,0x00,0x30,Dialogic Corporation
0xB5,0x00,0x31,Advanced Television Systems Committee
0xB5,0x00,0x32,Viable Communications Inc.
0xB5,0x00,0x33,Adtran Inc.
0xB5,0x00,0x34,NetKit Solutions LLC
0xB5,0x00,0x35,Hughes Network Systems
0xB5,0x00,0x36,Objective Systems Inc.
0xB5,0x00,0x37,AVerMedia Information Inc
0xB5,0x00,0x38,Vidtel Inc.
0xB5,0x00,0x39,Edifire
0xB5,0x00,0x3A,Technicolor
0xB5,0x00,0x3B,Dolby Laboratories Inc.
0xB5,0x00,0x3C,Samsung Electronics America
0xB5,0x00,0x3D,UHDA
0xB5,0x00,0x89,Apple Inc.
0xB5,0x00,0x90,Society of Motion Picture and Television Engineers (SMPTE)
0xB5,0x00,0x91,Philips North America LLC
0xB5,0x00,0x92,Netflix
0xB5,0x00,0xE0,Google LLC
0xB5,0x01,0x20,AT&T - GBCS
0xB5,0x01,0x68,Leadtek Research Inc.
0xB5,0x02,0x47,Lucent Technologies
0xB5,0x02,0x9A,Symbol Technologies Inc.
0xB5,0x03,0x69,Dilithium Networks Inc
0xB5,0x03,0x78,StarVox Inc.
0xB5,0x03,0xF7,Inari Inc.
0xB5,0x07,0x11,Acterna
0xB5,0x07,0x27,Quintum Technologies Inc.
0xB5,0x08,0x08,AsiaInfo Holdings Inc.
0xB5,0x09,0x18,Netrix Corporation
0xB5,0x09,0x26,Veraz Networks Inc
0xB5,0x10,0xE1,SysMaster Corporation
0xB5,0x1A,0x1A,Alpha Telecom Inc. U.S.A.
0xB5,0x1B,0x39,The Illustrious Industries Ltd.
